pali	english	type	gender
vanitā	woman	noun	f
kaññā / dārikā	girl	noun	f
gaṅgā	river Ganges	noun	f
nāvā	ship	noun	f
ammā	mother	noun	f
paññā	wisdom	noun	f
sālā	hall	noun	f
bhariyā	wife	noun	f
sabhā	assembly	noun	f
kathā	speech	noun	f
latā	creeper	noun	f
guhā	cave	noun	f
chāyā	shadow	noun	f
vālukā	sand	noun	f
mañjūsā	box	noun	f
mālā	garland	noun	f
surā	liquor	noun	f
sākhā	branch	noun	f
devatā	deity	noun	f
parisā	retinue	noun	f
saddhā	faith, devotion	noun	f
gīvā	neck	noun	f
jivhā	tongue	noun	f
pipāsā	thirst	noun	f
khudā	hunger	noun	f
sakkoti	can, is able	verb	
parivāreti	accompanies, surrounds	verb	
nivāreti	prevents	verb	
anubandhati	follows, chases after	verb	
kujjhati	gets angry	verb	
namassati	salutes, worships	verb	
poseti	brings up, nourishes	verb	
vāyamati	tries	verb	
nilīyati	hides	verb	
sallapati	engages in conversation	verb	
modati	is happy, enjoys	verb	
sukhaṃ vindati	experiences joy	verb	
dukkhaṃ vindati	experiences suffering	verb	
paṭiyādeti	prepares	verb	
pakkhipati	puts, places, deposits	verb	
