pali	english	type	gender
dhamma	the doctrine, truth	noun	m
bhatta	rice	noun	m
odana	cooked rice	noun	m
gāma	village	noun	m
suriya	sun	noun	m
canda	moon	noun	m
kukkura / sunakha / soṇa	dog	noun	m
vihāra	monastery	noun	m
patta	bowl	noun	m
āvāṭa	pit	noun	m
pabbata	mountain	noun	m
yācaka	beggar	noun	m
sigāla	jackal	noun	m
rukkha	tree	noun	m
harati	carries, takes away	verb	
āharati	brings	verb	
āruhati	climbs, ascends	verb	
oruhati	descends	verb	
yācati	begs	verb	
khaṇati	digs	verb	
vijjhati	shoots	verb	
paharati	hits, strikes	verb	
rakkhati	protects	verb	
vandati	worships, salutes	verb	
