pali	english	type	gender
dhanavantu	rich	adjective	
Bhagavantu	the Fortunate One, the Buddha	adjective	m
yasavantu	famous	adjective	
kulavantu	of good family	adjective	
sotavantu	attentive, having ears	adjective	
sīlavantu	virtuous	adjective	
saddhāvantu	devoted	adjective	
satimantu	mindful	adjective	
cakkhumantu	having eyes	adjective	
balavantu	powerful	adjective	
paññavantu	wise	adjective	
puññavantu	fortunate, meritorious	adjective	
phalavantu	fruitful	adjective	
himavantu	Himalayas, possessor of snow	adjective	m
vaṇṇavantu	colourful	adjective	
bhānumantu	sun, radiant	adjective	m
buddhimantu	intelligent	adjective	
bandhumantu	having relations	adjective	
guṇavantu	virtuous	adjective	
ojavantu	nourishing	adjective	
