pali	english	type	gender
nāvika	sailor	noun	m
ākāsa	sky	noun	m
samudda	ocean, sea	noun	m
deva / sura	deity, god	noun	m
loka	world	noun	m
āloka	light	noun	m
sakuṇa	bird	noun	m
kāka	crow	noun	m
nivāsa	house	noun	m
sappurisa	virtuous man	noun	m
asappurisa	wicked man	noun	m
kāya	body	noun	m
dūta	messenger	noun	m
goṇa	ox, bull	noun	m
āhiṇḍati	wanders	verb	
carati	walks	verb	
nisīdati	sits	verb	
sannipatati	assembles	verb	
viharati	dwells	verb	
vasati	lives	verb	
jīvati	lives	verb	
tiṭṭhati	stands	verb	
uppatati	flies, jumps up	verb	
tarati	crosses (water)	verb	
uttarati	comes out (of water)	verb	
pasīdati	becomes glad, is pleased with	verb	
