pali	english	type	gender
bhikkhu	monk	noun	m
bandhu	relation	noun	m
taru	tree	noun	m
bahu	arm	noun	m
sindhu	sea	noun	m
pharasu	axe	noun	m
pasu	beast	noun	m
ākhu	rat	noun	m
ucchu	sugar cane	noun	m
veḷu	bamboo	noun	m
kaṃacchu	spoon	noun	m
sattu	enemy	noun	m
setu	bridge	noun	m
ketu	banner	noun	m
susu	young one	noun	m
pabhū	eminent person	noun	m
sabbaññū	omniscient one	noun	m
viññū	wise man	noun	m
vadaññū	philanthropist	noun	m
atthaññū	benevolent man	noun	m
mattaññū	moderate or abstemious man	noun	m
