pali	english	type	gender
dhenu	cow	noun	f
yāgu	gruel	noun	f
kāsu	pit	noun	f
vijju	lightning	noun	f
rajju	rope	noun	f
daddu	eczema	noun	f
kaṇeru	cow-elephant	noun	f
dhātu	element, relic	noun	f
sassu	mother-in-law	noun	f
vadhu	daughter-in-law	noun	f
thaketi	shuts, closes	verb	
nāseti	destroys	verb	
sammajjati	sweeps	verb	
obhāseti	illuminates	verb	
bhajati	keeps company	verb	
bandhati	ties	verb	
vibhajati	divides, distributes	verb	
bhañjati	breaks	verb	
māpeti	builds, creates	verb	
vihiṃsati	harms	verb	
chaḍḍeti	throws	verb	
pattharati	spreads	verb	
