pali	english	type	gender
Buddha / Tathāgata / Sugata	the Buddha	noun	m
manussa	man, human being	noun	m
nara / purisa	man, person	noun	m
kassaka	farmer	noun	m
brāhmaṇa	brahmin	noun	m
putta	son	noun	m
mātula	uncle	noun	m
kumāra	boy	noun	m
vāṇija	merchant	noun	m
bhūpāla	king	noun	m
sahāya / sahāyaka / mitta	friend	noun	m
bhāsati	speaks	verb	
pacati	cooks	verb	
kasati	ploughs	verb	
bhuñjati	eats	verb	
sayati	sleeps	verb	
passati	sees	verb	
chindati	cuts	verb	
gacchati	goes	verb	
āgacchati	comes	verb	
dhāvati	runs	verb	
