pali	english
Bhūpālo bhuñjati.	The king eats.
Puttā sayanti.	Sons sleep.
Vāṇijā sayanti.	Merchants sleep.
Buddho passati.	The Buddha sees.
Kumāro dhāvati.	The boy runs.
Mātulo kasati.	The uncle ploughs.
Brāhmaṇā bhāsanti.	Brahmins speak.
Mittā gacchanti.	Friends go.
Kassakā pacanti.	Farmers cook.
Manusso chindati.	The man cuts.
Purisā dhāvanti.	Men run.
Sahāyako bhuñjati.	The friend eats.
Tathāgato bhāsati.	The Buddha speaks.
Naro pacati.	The man cooks.
Sahāyā kasanti.	Friends plough.
Sugato āgacchati.	The Buddha comes.
Puttā dhāvanti.	Sons run.
Mātulo passati.	The uncle sees.
Kumārā bhuñjanti.	Boys eat.
Vāṇijā gacchanti.	Merchants go.
Naro sayati.	The man sleeps.
Bhūpālā gacchanti.	Kings go.
Brāhmaṇo chindati.	The brahmin cuts.
Mittā bhāsanti.	Friends speak.
Kassako kasati.	The farmer ploughs.
Vāṇijo āgacchati.	The merchant comes.
Puttā chindanti.	Sons cut.
Mātulā bhāsanti.	Uncles speak.
Kumāro dhāvati.	The boy runs.
Mitto bhāsati.	The friend speaks.
