pali	english	type	gender
dhīvara	fisherman	noun	m
maccha	fish	noun	m
piṭaka	basket	noun	m
amacca	minister	noun	m
upāsaka	lay devotee	noun	m
pāsāda	palace	noun	m
dāraka	child	noun	m
sāṭaka	garment	noun	m
rajaka	washerman	noun	m
sappa	serpent	noun	m
pañha	question	noun	m
suka / suva	parrot	noun	m
sopāna	stairway	noun	m
sūkara / varāha	pig	noun	m
patati	falls	verb	
dhovati	washes	verb	
icchati	wishes, desires	verb	
ḍasati	bites	verb	
pucchati	questions	verb	
pakkosati	calls, summons	verb	
khādati	eats	verb	
hanati	kills	verb	
otarati	descends	verb	
nikkhamati	leaves, sets out	verb	
