pali	english	type	gender
aṅguli	finger	noun	f
aṭavi	forest	noun	f
ratti	night	noun	f
doṇi	boat	noun	f
yuvati	maiden	noun	f
yaṭṭhi	walking stick	noun	f
asani	thunderbolt	noun	f
nāḷi	unit of measure	noun	f
rasmi	ray	noun	f
iddhi	psychic power	noun	f
sammajjani	broom	noun	f
nadī	river	noun	f
nārī / itthī	woman	noun	f
taruṇī	young woman	noun	f
bhaginī	sister	noun	f
vāpī	tank	noun	f
pokkharaṇī	pond	noun	f
kadalī	banana	noun	f
brāhmaṇī	brahmin woman	noun	f
gāvī	cow	noun	f
rājinī / devī	queen	noun	f
kumārī	girl	noun	f
vyākaroti	explains	verb	
pattheti	aspires	verb	
vissajjeti	spends	verb	
āroceti	informs	verb	
muñcati	releases	verb	
nīhareti	takes out	verb	
peseti	sends	verb	
paṭiccādeti	conceals	verb	
veṭheti	wraps	verb	
viheṭheti	harasses	verb	
