pali	english	type	gender
āpaṇa	shop, bazaar	noun	n
puñña	merit	noun	n
pāpa	evil, sin	noun	n
kamma	deed, action	noun	n
kusala	good	noun	n
akusala	evil	noun	n
dhana	wealth	noun	n
dhañña	corn	noun	n
bīja	seed	noun	n
dussa	cloth	noun	n
cīvara	robe	noun	n
mūla	root, money	noun	n
rukkhamūla	foot of a tree	noun	n
tuṇḍa	beak	noun	n
vetana	wage, pay	noun	n
paduma	lotus	noun	n
gīta	song	noun	n
suvaṇṇa / hirañña	gold	noun	n
sacca	truth	noun	n
pānīya	drinking water	noun	n
citta	mind	noun	n
pariyesati	searches, seeks	verb	
ārabhati	begins	verb	
ussahati	tries	verb	
upasaṅkamati	approaches	verb	
adhigacchati	understands, attains	verb	
gāyati	sings	verb	
āmasati	touches, strokes	verb	
bhāyati	fears	verb	
cavati	departs, dies	verb	
uppajjati	is born	verb	
khipati	throws	verb	
vapati	sows	verb	
ākaṅkhati	hopes	verb	
sibbati	sews	verb	
