pali	english	type	gender
aṭṭhi	bone, seed	noun	n
vāri	water	noun	n
akkhi	eye	noun	n
sappi	ghee	noun	n
dadhi	curds	noun	n
acci	flame	noun	n
satthi	thigh	noun	n
cakkhu	eye	noun	n
dhanu	bow	noun	n
madhu	honey	noun	n
assu	tear	noun	n
jāṇu / jaṇṇu	knee	noun	n
dāru	firewood	noun	n
ambu	water	noun	n
vasu	wealth	noun	n
vatthu	ground, base, site, estate	noun	n
anukampati	feels compassionate	verb	
vāceti	teaches	verb	
sammisseti	mixes	verb	
pabbajati	renounces, becomes ordained	verb	
vippakirati	scatters (pp. vippakiṇṇa)	verb	
parājeti	defeats	verb	
anugacchati	follows	verb	
pattheti	aspires, hopes	verb	
samijjhati	fulfils, succeeds	verb	
pavatteti	sets in motion	verb	
(assūni) pavatteti	sheds tears	verb	
vibhajati	distributes, analyses	verb	
