pali	english	type	gender
aggi	fire	noun	m
muni / isi	sage	noun	m
kavi	poet	noun	m
ari	enemy	noun	m
bhūpati	king	noun	m
pati	husband, master	noun	m
gahapati	householder	noun	m
adhipati	lord, leader	noun	m
atithi	guest	noun	m
vyādhi	illness	noun	m
udadhi	ocean	noun	m
nidhi	(hidden) treasure	noun	m
vīhi	paddy	noun	m
kapi	monkey	noun	m
ahi	serpent	noun	m
dīpi	leopard	noun	m
ravi	sun	noun	m
giri	mountain	noun	m
maṇi	gem	noun	m
asi	sword	noun	m
rāsi	heap	noun	m
pāṇi	hand	noun	m
kucchi	belly	noun	m
muṭṭhi	fist, hammer	noun	m
